id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Khăn khá dày, màu dễ chịu, thêu cũng đẹp nữa",0,27842877,5,1688990044,Đào Nguyệt Vũ,1688739861
,Cực kì hài lòng,"Hàng giao như hình, nhanh chóng. Sản phẩm tốt.",0,16932715,5,1689816865,Tạ Thanh Tâm,1689555795
,Cực kì hài lòng,"Khăn to hơn mình nghĩ, vải mềm, khăn màu xanh mint xinh lắm. Tầm giá rất ok",0,927111,5,1689002992,Phan Thị Hương Lam,1688599020
,Cực kì hài lòng,"Ok, giao hàng nhanh, chất liệu tốt",0,6464815,5,1688790238,Sơn Trường Official,1688735966
,Cực kì hài lòng,"Khăn đẹp, thấm hút tốt, mua sale nên rẻ nữa. 10dddd",0,5485,5,1689581589,Trương Bửu Oanh,1688747426
,Cực kì hài lòng,"Khăn mềm mại, nhưng chưa biết dùng lâu ngày có bị xơ cứng hay không thôi.",0,18504,5,1680347845,Lê thanh Dũng,1680280603
,Cực kì hài lòng,Đẹp quá xịn dùng rất tốt rất êm quá rẻ nữa Tiki thật tuyệt vời Tiếp tục thêm những sản phẩm như vậy nữa nhé,0,1559948,5,1688808626,Khoa Hiếu,1688732607
,Rất không hài lòng,"Mất uy tín, sản phẩm kém chất lượng. Thêm nữa là tiki để nhà cung cấp sử dụng chiêu trò PR bẩn. Tạo voucher các kiểu để thu hút khách hàng coi gian hàng, đặt hàng, sau đó hủy đơn hàng của khách. Gây mất thời gian, khó chịu. Tiki support nhân viên không hỗ trợ. Điển hình là nhà bán Sakos và Glico... làm ăn k ra gì",0,13683745,1,1691160021,Hằng Tống,1688498743
,Cực kì hài lòng,Khăn rất mềm và thấm hút nước. Màu sắc bên ngoài đẹp hơn hình luôn.,0,6558,5,1688701451,Trần Hồng Ân,1688626224
,Cực kì hài lòng,"Vải cũng ổn, mua được giá sale, đóng gói tốt.giao hàng nhanh",0,1228707,5,1687171644,Hoàng Hà,1687103686
,Cực kì hài lòng,"Khăn khá dày, màu dễ chịu, thêu cũng đẹp nữa",0,27842877,5,1688990044,Đào Nguyệt Vũ,1688739861
,Cực kì hài lòng,"Hàng giao như hình, nhanh chóng. Sản phẩm tốt.",0,16932715,5,1689816865,Tạ Thanh Tâm,1689555795
,Cực kì hài lòng,"Khăn to hơn mình nghĩ, vải mềm, khăn màu xanh mint xinh lắm. Tầm giá rất ok",0,927111,5,1689002992,Phan Thị Hương Lam,1688599020
,Cực kì hài lòng,"Ok, giao hàng nhanh, chất liệu tốt",0,6464815,5,1688790238,Sơn Trường Official,1688735966
,Cực kì hài lòng,"Khăn đẹp, thấm hút tốt, mua sale nên rẻ nữa. 10dddd",0,5485,5,1689581589,Trương Bửu Oanh,1688747426
,Cực kì hài lòng,"Khăn mềm mại, nhưng chưa biết dùng lâu ngày có bị xơ cứng hay không thôi.",0,18504,5,1680347845,Lê thanh Dũng,1680280603
,Không hài lòng,"Tôi viết đánh giá này không phải để dìm hàng mà mô tả cụ thể chất lượng sp bằng trải nghiệm của chính mình: Hàng mỏng mảnh, không chắc chắn. Tôi dùng được 1 tháng đã hỏng. Đặc biệt cái cổ của cây lau rất ật ưỡng, đang xoay để vắt thì lại ật ngang ra. Chán!",1,11206555,2,1685247356,Trần Hoàng Việt,1678672990
,Rất không hài lòng,"Mua 2 bộ tin tưởng hàng Sunhouse thương hiệu về vừa sử dụng chưa được 1 lần đã bể đầu chổi ( đầu để lắp bông lau ) quá thất vọng và bực mình, giờ thì vứt đi mất tôi mấy trăm bạc, tiếc tiền thì ít thất vọng thì nhiều vì trót tin tưởng vào nhãn hàng mà mua, CẢ 2 CÂY LAU ĐỀU HỎNG CẢ 2 KHÔNG THỂ SỬ DỤNG ĐƯỢC. RỞM LẠI RỞM QUÁ THỂ ĐÁNG.",3,7496488,1,1681122655,Phuong Lan,1678869707
,Cực kì hài lòng,"Mình dùng thử mấy bữa rồi mới đánh giá. Ấn tượng vì ngoại hình sản phẩm đẹp lắm nhé, trước mình có sài cây lau sunhouse với thùng cũ của hãng khác thấy cũng bình thường. Nay sài trọn bộ bị bất ngờ về chất lượng sản phẩm ấy, vắt giặt đều nhẹ tênh, vắt siêu khô lau sạch. Vì em ấy nhẹ quá nên nhiều khi cảm giác phải nhẹ nhàng không hư mất.
Nói chung là xứng với giá tiền nên mua nha. Ưng ưng cái bụng. Đẹp - tiện - dễ sử dụng",3,1775349,5,1656918577,Anh Nguyen,1656069733
,Cực kì hài lòng,"Sản phẩm chất lượng rất tốt luôn ạ. Chắc chắn, mà chất liệu cũng bền nữa. Giá thì quá tốt so với sản phẩm luôn. Mà mọi người nếu mua thử để ý giá cả xem sao nha, vì lúc mình mua sản phẩm này là không phải flash sale. Nhưng khi mình thấy flash sale thì giá sp lại có vẻ tăng lên so bới ban đầu. Nên mọi người chú ý giá như thế nào cho tốt nha. Mình cũng cảm ơn Shop ạ",4,5871268,5,1661655464,Phạm Thị Ngọc Trâm,1674287206
,Rất không hài lòng,"Hoàn toàn thất vọng về chất lượng sp, m vừa mua trưa nay, vừa lau nhà được 1 lượt, lượt thứ 2 thì vỡ luôn ah, giờ kg biết làm sao, tiền còn chưa trả mà hàng đã kg xài được rồi, làm thế nào để trả hàng lại ạ?",3,1159013,1,1678106995,Nguyen Thi Hoang Uyen,1679897003
,Cực kì hài lòng,"Đóng gói kỉ và gọn gàng , giao đủ chi tiết sản phẩm . Màu sắc rất đẹp và nhìn khá cứng cáp … giá hơi cao so với 1 vài nơi khác nhưng vì mình thích ưu điểm là giao rất nhanh . Cảm ơn tiki",0,18215580,5,1689307975,Thanh Trúc Jessica,1689251548
,Cực kì hài lòng,"Sản phẩm có chất lượng đúng như mô tả, đóng gói chắc chắn, rất đáng tiền, giao hàng nhanh.
P/s: ko có thời gian chụp hình nên mình lấy đỡ hình trên mạng up",0,7178520,5,1679481697,Japanit Matcha,1675051201
,Rất không hài lòng,Cực kỳ tệ!!! Sản phẩm khui ra lau được đúng 3 ngày hỏng. Ko nên phí tiền với sản phẩm tệ như vậy!!!,2,5613684,1,1669262406,Vũ Mạnh Thế,1668907313
,Cực kì hài lòng,"Sản phẩm đóng gói nguyên thùng chính hãng cẩn thận, chắc chắn. Hàng dùng ổn định. Mẫu mã đẹp",0,14561085,5,1671544218,Nguyễn Tú,1668125676
,Hài lòng,"Chào SunHouse 
Mình có đặt Bộ lau nhà xoay 360 độ này. Kết quả là không sử dụng được. Cây lau nhà KHÔNG thể vắt được sạch nước và rất dễ rơi ra... 

hoàn toàn thất vọng về sản phẩm này. Đề nghị SunHouse đổi lại cho mình bộ này. 

trân trọng.",0,27536664,4,1663733654,Thu Thoi,1663405718
,Không hài lòng,"Tôi viết đánh giá này không phải để dìm hàng mà mô tả cụ thể chất lượng sp bằng trải nghiệm của chính mình: Hàng mỏng mảnh, không chắc chắn. Tôi dùng được 1 tháng đã hỏng. Đặc biệt cái cổ của cây lau rất ật ưỡng, đang xoay để vắt thì lại ật ngang ra. Chán!",1,11206555,2,1685247356,Trần Hoàng Việt,1678672990
,Rất không hài lòng,"Mua 2 bộ tin tưởng hàng Sunhouse thương hiệu về vừa sử dụng chưa được 1 lần đã bể đầu chổi ( đầu để lắp bông lau ) quá thất vọng và bực mình, giờ thì vứt đi mất tôi mấy trăm bạc, tiếc tiền thì ít thất vọng thì nhiều vì trót tin tưởng vào nhãn hàng mà mua, CẢ 2 CÂY LAU ĐỀU HỎNG CẢ 2 KHÔNG THỂ SỬ DỤNG ĐƯỢC. RỞM LẠI RỞM QUÁ THỂ ĐÁNG.",3,7496488,1,1681122655,Phuong Lan,1678869707
,Cực kì hài lòng,"Mình dùng thử mấy bữa rồi mới đánh giá. Ấn tượng vì ngoại hình sản phẩm đẹp lắm nhé, trước mình có sài cây lau sunhouse với thùng cũ của hãng khác thấy cũng bình thường. Nay sài trọn bộ bị bất ngờ về chất lượng sản phẩm ấy, vắt giặt đều nhẹ tênh, vắt siêu khô lau sạch. Vì em ấy nhẹ quá nên nhiều khi cảm giác phải nhẹ nhàng không hư mất.
Nói chung là xứng với giá tiền nên mua nha. Ưng ưng cái bụng. Đẹp - tiện - dễ sử dụng",3,1775349,5,1656918577,Anh Nguyen,1656069733
,Cực kì hài lòng,"Sản phẩm chất lượng rất tốt luôn ạ. Chắc chắn, mà chất liệu cũng bền nữa. Giá thì quá tốt so với sản phẩm luôn. Mà mọi người nếu mua thử để ý giá cả xem sao nha, vì lúc mình mua sản phẩm này là không phải flash sale. Nhưng khi mình thấy flash sale thì giá sp lại có vẻ tăng lên so bới ban đầu. Nên mọi người chú ý giá như thế nào cho tốt nha. Mình cũng cảm ơn Shop ạ",4,5871268,5,1661655464,Phạm Thị Ngọc Trâm,1674287206
,Rất không hài lòng,"Hoàn toàn thất vọng về chất lượng sp, m vừa mua trưa nay, vừa lau nhà được 1 lượt, lượt thứ 2 thì vỡ luôn ah, giờ kg biết làm sao, tiền còn chưa trả mà hàng đã kg xài được rồi, làm thế nào để trả hàng lại ạ?",3,1159013,1,1678106995,Nguyen Thi Hoang Uyen,1679897003
,Cực kì hài lòng,"Đóng gói kỉ và gọn gàng , giao đủ chi tiết sản phẩm . Màu sắc rất đẹp và nhìn khá cứng cáp … giá hơi cao so với 1 vài nơi khác nhưng vì mình thích ưu điểm là giao rất nhanh . Cảm ơn tiki",0,18215580,5,1689307975,Thanh Trúc Jessica,1689251548
